step, l1_err, l2_err, li_err, l1_rel, l2_rel, li_rel, learning_rate, time_train, time_mc
550000, 0.195610, 0.246823, 1.681946, 0.000839, 0.001059, 0.007087, 0.000010, 33.163640, 2.467029
560000, 0.195195, 0.247079, 1.643951, 0.000837, 0.001060, 0.006902, 0.000010, 32.323947, 3.786262
570000, 0.195886, 0.246343, 1.681763, 0.000840, 0.001057, 0.007056, 0.000010, 33.317230, 2.689289
580000, 0.195009, 0.245886, 2.142410, 0.000836, 0.001055, 0.009083, 0.000010, 32.048795, 3.514406
590000, 0.194791, 0.245493, 1.750031, 0.000835, 0.001053, 0.007249, 0.000010, 32.199105, 3.231287
600000, 0.194127, 0.245120, 1.779007, 0.000832, 0.001052, 0.007587, 0.000010, 31.671731, 2.796960
610000, 0.194210, 0.245461, 1.812607, 0.000833, 0.001053, 0.007662, 0.000010, 31.398108, 2.927061
620000, 0.193814, 0.244637, 1.958511, 0.000831, 0.001049, 0.008249, 0.000010, 31.580770, 2.942433
630000, 0.194187, 0.244787, 1.844589, 0.000833, 0.001050, 0.007884, 0.000010, 31.931355, 2.422153
640000, 0.192926, 0.243739, 1.729019, 0.000827, 0.001046, 0.007401, 0.000010, 32.032579, 3.671205
650000, 0.194269, 0.244512, 1.788620, 0.000833, 0.001049, 0.007660, 0.000010, 32.101962, 3.195706
660000, 0.193525, 0.243872, 1.715881, 0.000830, 0.001046, 0.007164, 0.000010, 32.182708, 2.687753
670000, 0.192683, 0.243307, 1.717773, 0.000826, 0.001044, 0.007257, 0.000010, 30.825718, 3.584141
680000, 0.193276, 0.243560, 1.767471, 0.000829, 0.001045, 0.007338, 0.000010, 31.846616, 3.080238
690000, 0.194074, 0.243967, 1.767380, 0.000832, 0.001047, 0.007479, 0.000010, 31.479132, 2.965992
700000, 0.192978, 0.243351, 1.987793, 0.000828, 0.001044, 0.008328, 0.000010, 32.723407, 3.676397
710000, 0.192110, 0.243231, 1.778366, 0.000824, 0.001043, 0.007558, 0.000010, 33.412847, 3.206896
720000, 0.193129, 0.243063, 1.761536, 0.000828, 0.001043, 0.007602, 0.000010, 33.399265, 3.645425
730000, 0.191838, 0.242165, 1.686279, 0.000823, 0.001039, 0.007078, 0.000010, 33.374465, 3.334832
740000, 0.192304, 0.242271, 1.740860, 0.000825, 0.001039, 0.007416, 0.000010, 31.632256, 3.851033
